0	0.693	.	.	23.1	60	2	46.21
0	0.693	.	.	23.1	60	2	46.21
0	0.693	.	.	15.58	60	2	31.16
0	0.693	0	0	19.52	60	5	78.09
0	0.693	0	0	19.52	60	6	78.09
0	0.283	0	0	4.17	60	72	45.9
0	0.283	0	0	4.17	60	72	45.9
0	0.283	0	-1	4.17	60	72	45.9
0	0.693	.	.	23.1	60	2	46.21
0	0.693	.	.	22.26	60	3	44.51
0	0.693	.	.	25.36	60	2	87.21
0	0.693	.	.	28.73	60	2	87.21
0	0.693	.	.	33.61	60	2	67.21
0	1.609	.	.	30.97	60	1	43.59
0	1.609	.	.	27.24	60	1	43.59
0	1.609	.	.	28.2	60	1	43.59
0	0.693	.	.	23.1	60	2	46.21
0	0.693	0	0	8.48	60	7	33.94
0	0.693	.	.	22.26	60	3	44.51
0	1.022	.	.	26.49	60	6	132.47
0	0.693	.	.	22.26	60	3	44.51
0	0.693	.	.	23.1	60	2	46.21
0	0.693	.	.	23.1	60	2	46.21
0	0.693	.	.	29.56	60	2	87.21
0	0.693	.	.	21.45	60	7	42.9
0	1.329	.	.	26.07	60	13	156.41
0	1.179	0	0	13.52	60	6	67.59
0	0.693	.	.	23.1	60	3	46.21
0	0.693	.	.	21.4	60	5	42.79
0	0.693	.	.	23.1	60	3	46.21
0	0.693	.	.	23.1	60	2	46.21
0	1.179	.	.	26.32	60	4	78.96
0	0.693	.	.	23.1	60	3	46.21
0	0.693	.	.	23.1	60	2	46.21
0	0.693	.	.	20.48	60	6	40.97
0	0.693	.	.	20.48	60	6	40.97
0	0.693	.	.	23.1	60	2	46.21
0	0.693	0	1	8.9	60	5	35.58
0	1.179	.	.	30.62	60	4	85.29
0	0.693	.	.	28.53	60	6	114.13
0	0.693	.	.	21.41	60	4	42.81
0	0.693	.	.	23.1	60	2	46.21
0	0.693	.	.	27.22	60	10	163.3
0	0.693	.	.	19.89	60	7	39.77
0	0.693	.	.	21.4	60	4	42.8
0	1.022	.	.	26.29	60	7	131.47
0	0.693	.	.	22.26	60	4	44.51
0	1.179	.	.	25.82	60	8	77.45
0	0.693	.	.	21.61	60	7	43.23
0	0.892	.	.	26.51	60	9	238.55
0	0.693	.	.	22.26	60	4	44.51
0	0.693	.	.	26.84	60	8	214.76
0	0.693	.	.	23.32	60	6	93.29
0	0.223	0	0	12.14	60	7	36.41
0	0.693	.	.	20.18	60	7	40.37
0	1.402	.	.	29.83	60	15	268.47
0	0.223	0	0	6.04	60	30	54.34
0	0.223	0	0	6.04	60	30	54.34
0	0.892	.	.	30.2	60	12	271.76
0	1.329	.	.	28.11	60	22	168.65
0	0.693	.	.	21.37	60	39	128.2
0	1.402	.	.	31.61	60	18	284.46
0	0.38	0	0	29.46	60	64	1708.73
0	1.609	.	.	27.98	60	21	195.83
0	0.941	.	.	27.31	60	26	436.96
0	0.793	.	.	29.44	60	22	559.42
0	0.223	0	0	11.1	60	16	33.3
0	0.693	.	.	23.1	60	2	46.21
0	0.693	.	.	28.17	60	2	87.21
0	0.693	.	.	26.8	60	2	87.21
0	0.223	0	0	22.21	60	33	199.85
0	0.223	0	0	19.83	60	33	178.51
0	0.525	0	0	24.23	60	29	242.27
0	1.802	.	.	33.19	60	15	365.08
0	0.693	.	.	20.55	60	11	41.1
0	1.981	.	.	31.07	60	12	155.37
0	0.752	.	.	28.99	60	36	956.73
0	0.693	.	.	19.02	60	13	38.04
0	0.693	.	.	19.08	60	17	38.16
0	0.693	0	0	7.6	60	17	30.39
0	0.693	.	.	18.2	60	18	36.39
0	0.693	.	.	18.58	60	12	37.15
0	0.223	0	0	11.02	60	17	33.07
0	1.179	.	.	23.04	60	11	69.12
0	0.693	.	.	19.24	60	11	38.48
0	0.693	.	.	22.88	60	11	45.76
0	2.303	.	.	27.51	60	8	74.16
0	0.693	.	.	33.93	60	10	135.72
0	1.402	.	.	27.96	60	9	251.6
0	1.179	.	.	28.08	60	11	289.69
0	1.609	.	.	26.11	60	15	104.44
0	0.283	0	0	25.97	60	21	493.43
